Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.4719872648555E-12,0.0331941103362252,0.121119699522856,0,0,0,1.10120945723253,0.00778946719068149,-1.55089607188298E-14,-7.15589016934064E-15,0.00613139149583515,-6.01985020734907E-07,0.00283497412761364,0,0,0,0,0,0,package://simple_mtm_v10/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v10/meshes/base_link.STL,,base.stp-1;shoulder_pitch.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_J1_link,-0.0272468641090351,-0.00431239962159002,0.0136177788693075,0,0,0,0.217265269014196,8.82896586774548E-05,-5.23747831657561E-06,4.84618661160386E-07,9.88337545554134E-05,3.160560405688E-07,0.000161817724573325,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_J1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_J1_link.STL,,shoulder_left_arm.stp-1,Origin_right_J1_joint,right_j1,right_J1_joint,revolute,0,0.216999999999988,0.284999999999997,-1.57079632679489,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
right_J2_link,0.123474393867848,0.0151001355687571,0.00892223373852938,0,0,0,0.028442603557216,2.23413747833825E-06,-3.63778375387454E-11,-8.63056316192372E-08,2.11946804960037E-05,1.95087355715519E-13,2.18319915210086E-05,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_J2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_J2_link.STL,,upper_arm.stp-1,Origin_right_J1_joint2,right_j2,right_J2_joint,revolute,0.0349999999999925,0.0150999999999992,0.0200000000000018,3.14159265358979,0,0,right_J1_link,0,1,0,0,0,0,0,,,,,,,,
right_J3_link,0.169855168676658,-0.0030588386977515,0.000145482432828969,0,0,0,0.0380698507633094,3.57015181869291E-06,5.77797289983113E-08,-8.33816062414886E-09,2.50590429093487E-05,-4.10119336474951E-09,2.32459379312169E-05,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_J3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_J3_link.STL,,lower_arm.stp-1;gimbal-1/G_BASE-1,Origin_right_J3_joint,right_j3,right_J3_joint,revolute,0.227499999999998,0.0150999999999999,0.0195,1.5707963267949,0,-1.5707963267949,right_J2_link,0,1,0,0,0,0,0,,,,,,,,
right_G3_link,-0.000538298034256923,-0.0307137660110574,0.039930624443191,0,0,0,0.0139115090394775,2.05714095768684E-06,1.18920441797106E-08,1.26103314022491E-08,3.24885522100954E-06,8.79998026858796E-09,2.08516206561185E-06,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_G3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_G3_link.STL,,gimbal-1/G3-2,Origin_right_G3_joint,right_g3,right_G3_joint,revolute,0.192500000000002,0.00969999999999821,0,0,1.5707963267949,0,right_J3_link,0,1,0,0,0,0,0,,,,,,,,
right_G2_link,-0.000193564668082624,-0.0340058831715823,0.0387465222468122,0,0,0,0.000175394578104925,6.00806245621315E-09,1.19071568961015E-11,-1.77273008759156E-09,7.79464906245331E-09,3.12378910526836E-11,2.03310817422897E-09,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_G2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_G2_link.STL,,gimbal-1/G2-2,Origin_right_G2_joint,right_g2,right_G2_joint,revolute,-0.0139815439024298,0.00129786118054417,0.0772341692003624,-3.14159265358979,0.364174851103282,-3.14159265358979,right_G3_link,0.356178381855326,0,0.934417979439031,0,0,0,0,,,,,,,,
right_G1_link,0.00018689693137236,-0.119856134439348,0.0397448705988263,0,0,0,0.00625621520567208,1.27666098425882E-05,-3.81984029962047E-10,1.82290603449966E-09,1.14531246370276E-07,-1.08584454873241E-09,1.27722041084183E-05,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_G1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_G1_link.STL,,gimbal-1/G1-2;gimbal-1/handpiece-1,Origin_right_G1_joint,right_g1,right_G1_joint,revolute,0,0,0,0,0,0,right_G2_link,0.934417979439031,0,-0.356178381855326,0,0,0,0,,,,,,,,
right_lever_1_link,0.00510793200874701,-0.0889448703770281,0.0529085638546365,0,0,0,0.00204075415287948,7.29183551455903E-07,-6.03030711122902E-08,-1.19420109398606E-08,6.47741964762146E-08,-1.39761570231975E-07,7.10623170243152E-07,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_lever_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_lever_1_link.STL,,gimbal-1/lever-1,Origin_right_lever_1_joint,right_g0,right_lever_1_joint,revolute,-0.000578106027015302,0.00496024892621399,0.0771324048250518,-3.12182427052133,-7.44784606204923E-05,-3.13405782561958,right_G1_link,0.934417979439032,0,-0.356178381855324,0,0,0,0,,,,,,,,
right_lever_2_link,0.00510793196677284,-0.0889448706223261,0.0529085639711742,0,0,0,0.00204075409890077,7.2918356031614E-07,-6.0303075402171E-08,-1.19420115546858E-08,6.47741938421055E-08,-1.39761574634627E-07,7.10623180129961E-07,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_lever_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v10/meshes/right_lever_2_link.STL,,gimbal-1/lever-2,Origin_right_lever_2_link,right_g0,right_lever_2_joint,revolute,0.00036791989843285,0.00447042270834766,0.000824842222483302,0.00686960114312612,0,-0.00261851443835586,right_G1_link,-0.934417979439032,0,0.356178381855325,0,0,0,0,,,,,,,,
